,0,1,2,3,4,5,6,7,8
Count,519252.00,655578.00,471868.00,14388.00,19417.00,9047.00,576.00,13.00,96.00
Mean,985156.88,1467636.99,352264.28,26814992.85,3929997.82,2330157.53,3480354.67,786589.54,195959160.00
Median,163722.00,174409.00,167821.00,196096.00,177920.00,179712.00,316544.00,243456.00,88940544.00
Std,20709308.06,59591246.16,9317850.66,121499504.03,34903923.68,27223799.17,8007691.00,1816233.43,277751570.13
Max,665445057.00,5171976370.00,3397489263.00,665444864.00,655331584.00,920477952.00,81468160.00,6822912.00,864397312.00
Min,146856.00,155488.00,98406.00,148736.00,157440.00,151040.00,158976.00,188416.00,98304.00
25th Percentile,160360.00,169535.00,163868.00,163072.00,169728.00,165632.00,216576.00,195584.00,4502016.00
50th Percentile,163722.00,174409.00,167821.00,196096.00,177920.00,179712.00,316544.00,243456.00,88940544.00
75th Percentile,175092.00,186365.00,184433.00,2345152.00,205568.00,269952.00,1259008.00,401664.00,241135936.00
90th Percentil,285820.80,225073.00,309571.10,17083315.20,357120.00,1363200.00,14405120.00,426444.80,863973888.00
95th Percentile,567667.10,287280.45,567630.20,42279040.00,1624371.20,4144332.80,18544128.00,2986598.40,864314368.00
% of latencies more than 2 std larger than mean,0.14,0.08,0.03,3.52,1.07,0.61,4.51,7.69,12.50
# of stds away from mean for max latency,32.09,86.77,364.58,5.26,18.66,33.73,9.74,3.32,2.41
